TransactionID,Type,Amount,Currency,Status
d9b821cb,Transfer,6468.41,USD,Failed
6c47409f,Adjustment,7498.35,USD,Failed
e8cb9471,Adjustment,3400.39,USD,Pending
19eaf094,Adjustment,6969.84,USD,Failed
00c415d9,Adjustment,7847.05,USD,Completed
56115489,Credit,2353.0,USD,Failed
eae0da59,Credit,504.48,USD,Cancelled
bde43253,Adjustment,3723.57,USD,Completed
57ca3091,Transfer,1146.61,USD,Completed
8f6e60ed,Transfer,4417.35,USD,Pending
06c7153e,Adjustment,6657.61,USD,Failed
95a2a18f,Adjustment,4468.03,USD,Completed
11450e51,Adjustment,7778.23,USD,Completed
bdb79a92,Credit,2237.66,USD,Failed
26b479eb,Adjustment,1920.48,USD,Cancelled
07b4282b,Debit,1437.16,USD,Completed
a04cef23,Credit,730.95,USD,Completed
35861a1a,Adjustment,9459.79,USD,Failed
dab519fe,Debit,3955.94,USD,Completed
bfbc9f66,Transfer,804.17,USD,Failed
a4311c10,Adjustment,3253.87,USD,Pending
e203cd97,Transfer,477.06,USD,Failed
240b3884,Transfer,1759.86,USD,Pending
0c48141c,Adjustment,827.8,USD,Cancelled
73ff6d30,Credit,4376.49,USD,Pending
99f9fb27,Debit,2650.37,USD,Failed
0136347a,Credit,680.56,USD,Cancelled
0e103f5f,Adjustment,5134.14,USD,Pending
684f1363,Adjustment,3673.05,USD,Cancelled
4b2e9864,Adjustment,5536.2,USD,Pending
3fd108b4,Credit,7773.64,USD,Pending
9cbc584c,Debit,9507.01,USD,Pending
